rank,word_fr,word_en,tag,phrase_fr,phrase_en
1,le,"pro the; him, her, it, them","det,"," vive la politique, vive l'amour "," long live politics, long live love "
2,de,"prep of, from, some, any","det,", il ne rêve que d'argent et de plaisirs , he only dreams of money and pleasure 
3,un,"det, nm, pro a, an, one","adj,", je me suis cassé un ongle , I broke one of my fingernails 
4,à,"to, at, in",prep, ils restent à l'école le plus longtemps possible , they remain at school as long as possible 
5,être,to be; being,"nm,v", tout le monde veut être beau , everybody wants to be beautiful 
6,et,and,conj, et les larmes se remirent à couler , and the tears started flowing again 
7,en,"in, by","adv,prep,pro", je suis retournée en Espagne en septembre , I returned to Spain in September 
8,avoir,to have,"nm,v", on était six donc tu peux pas avoir une conversation , there were six of us so you can't have a conversation
9,que,"that, which, who, whom","adv,conj,pro", c'est un soldat. mais que fait-il ici? , it's a soldier. but what's he doing here? 
10,pour,"for, in order to",prep, elle jouait pour gagner , she played to win 
11,dans,"in, into, from",prep, je reviendrai dans dix minutes , I will return in 10 minutes 
12,ce,"this, that","det,pro", je ne déteste pas cet homme , I do not detest this man 
13,il,"he, it",pro, allez voir s'il est blessé , go see if he is injured 
14,qui,"who, whom",pro, je ne sais pas à qui m'adresser , I don't know who to talk to 
15,ne,not,adv, nous ne faisons pas du très bon travail , we are not doing very good work 
16,sur,"on, upon","adj,prep", t'avais une chance sur un million , you had one chance in a million 
17,se,"oneself, himself, herself, itself, themselves",pro," avec ce traité, le Japon se rapproche des Etats-Unis "," with this treaty, Japan brings itself closer to the U.S."
18,pas,"not, n't; footstep","adv,nm(pl)"," non, ne touchez pas! "," no, don't touch it! "
19,plus,"more, no more",adv, il est considérablement plus jeune que moi , he's considerably younger than I am 
20,pouvoir,"can, to be able to","nm,v", tu peux jouer de la guitare électrique , you can play electric guitar 
21,par,by,prep, il s'y trouvait par hasard , he found himself there by accident 
22,je,I,pro, je suis contente de vous revoir , I am happy to see you again 
23,avec,with,prep, vous voulez aller au ciné avec moi? , do you want to go to a movie with me? 
24,tout,"all, very","adv,det,nadj,pro"," comme vous voyez, tout est propre "," as you see, everything is clean "
25,faire,"to do, make","nm,v", qu'est-ce qu'il fait? , what's he doing? 
26,son,"his, her, its; sound; bran","det,nm", un ami ingénieur du son m'aide pour les arrangements , a sound engineer friend of mine helped me with the arrangements
27,mettre,"to put, place",v, je peux me mettre à votre table? , may I sit at your table? 
28,autre,other,"det,nadj(f),pro", il y a un autre problème , there's another problem 
29,on,"one, we",pro, on tire et on pose les questions ensuite , we shoot first and ask questions later 
30,mais,but,"adv,conj,intj"," je ne suis pas riche, mais je connais la vérité "," I'm not rich, but I know the truth "
31,nous,"we, us",pro, nous devons nous défendre nous-mêmes , we must defend ourselves 
